email,url
sites@columbia.edu,https://sites.columbia.edu/
"eoaa@columbia.edu,eoaa@columbia.edu",https://eoaa.columbia.edu/content/non-discrimination-statement-and-policy
askcuit@columbia.edu,https://www.columbia.edu/content/copyright
health@columbia.edu,https://health.columbia.edu/content/disability-services
username@example.com,https://www.mailman.columbia.edu/harlem-health-promotion-center/about
ciexecs@columbia.edu,https://communityimpact.columbia.edu/
jhl2152@columbia.edu,https://freedomandcitizenship.columbia.edu/
ddc@columbia.edu,https://ddc.college.columbia.edu/
"communityaffairs@columbia.edu,communityaffairs@columbia.edu",https://gca.columbia.edu/content/programs-and-initiatives/community-scholars
communityaffairs@columbia.edu,https://gca.columbia.edu/
wellnesscenter@cumc.columbia.edu,https://communitywellness.manhattanville.columbia.edu/
"oreilly@ldeo.columbia.edu,transportation@columbia.edu,parking@columbia.edu,transportation@columbia.edu",https://transportation.columbia.edu/content/lamont-shuttle
"transportation@columbia.edu,parking@columbia.edu,transportation@columbia.edu",https://transportation.columbia.edu/content/manhattanville-loop
"transportation@columbia.edu,parking@columbia.edu,transportation@columbia.edu",https://transportation.columbia.edu/content/intercampus-shuttle
"ijparedes@nyu.edu,gca@cumc.columbia.edu,communityaffairs@columbia.edu",https://neighbors.columbia.edu/events/march-science-nyc-info-session
"jrs19@columbia.edu,columbianews@columbia.edu",https://news.columbia.edu/events/mirror-humanity-seeing-ourselves-playing-cards
engineeringoutreach@columbia.edu,https://outreach.engineering.columbia.edu/content/shape-summer-high-school-academic-program-engineers
columbianews@columbia.edu,https://news.columbia.edu/news/helping-veterans-transition-higher-education
scienceandsociety@columbia.edu,https://scienceandsociety.columbia.edu/news/making-and-knowing-project-collaborates-refashioning-renaissance
visitorscenter@columbia.edu,https://visit.columbia.edu/
summersessions@columbia.edu,http://summer.sps.columbia.edu/
registrar@columbia.edu,https://registrar.columbia.edu/calendar
lio@columbia.edu,https://library.columbia.edu/
"sabina.lee@columbia.edu,columbianews@columbia.edu",https://news.columbia.edu/news/university-scholarship-displaced-refugees-asylum-students
"columbianews@columbia.edu,columbianews@columbia.edu",https://news.columbia.edu/content/sexual-citizens
columbianews@columbia.edu,https://news.columbia.edu
cumcgca@columbia.edu,https://www.columbia.edu/content/
cumcgca@columbia.edu,https://www.columbia.edu
espnplusaffiliates@disneystreaming.com,https://plus.espn.com/partner-program?ex_cid=ESPN-partnerprogram-espnfooter-US-EN
ESPN+@no-vote.com,https://help.espnplus.com/hc/en-us/articles/360026126892-ESPN-Subscriber-Agreement
